,Strength(ABV),Proof,Age Statement,Distillery,State,Brand Owner,Price Range,Drink Recommendation 
1792 Small Batch Kentucky Straight Bourbon Whiskey,41.9,83.8,NAS,Barton 1792,Kentucky,Sazerac ,$$,"Rocks, Cocktail"
A.D. Laws Four Grain Straight Bourbon Whiskey,47.5,95,2 Years,Laws Whiskey House,Colorado,Laws Whiskey House,$$$,"Neat, Cocktail"
A.D. Laws Four Grain Straight Bourbon Whiskey Bottled-in-Bond,50,100,4 Years,Laws Whiskey House,Colorado,Laws Whiskey House,$$$,Neat
Ancient Age Kentucky Straight Bourbon Whiskey,40,80,3 Years,Buffalo Trace,Kentucky,Age International,$,Cocktail
Angel's Envy Kentucky Straight Bourbon Whiskey Finished in Port Wine Barrels,43.3,86.6,NAS,Undisclosed,Kentucky,Bacardi Limited,$$,"Neat, Rocks, Cocktail"
Baker's Kentucky Straight Bourbon Whiskey,53.5,107,7 Years,Jim Beam,Kentucky,Beam Suntory,$$$,"Neat, Water"
Basil Hayden's Kentucky Straight Bourbon Whiskey,40,80,NAS,Jim Beam,Kentucky,Beam Suntory,$$,"Rocks, Cocktail"
Beer Barrel Bourbon,40,80,NAS,New Holland Artisan,Michigan,New Holland Artisan Spirits,$$,"Neat, Cocktail"
Belle Meade Sour Mash Straight Bourbon Whiskey,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$,"Neat, Cocktail"
Belle Meade Single Barrel Bourbon,54.8,109.6,10 Years,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Water, Cocktail"
Belle Meade Bourbon Sherry Cask Finish,45.2,90.4,9 Years,MGP,Indiana,Nelson's Green Brier Distillery,$$$,Neat
Belle Meade Bourbon Cognac Cask Finish,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Cocktail"
Belle Meade Bourbon Madeira Cask Finish,45.2,90.4,NAS,MGP,Indiana,Nelson's Green Brier Distillery,$$$,"Neat, Water"
Blanton's Original Single Barrel Straight Bourbon Whiskey,46.5,93,NAS,Buffalo Trace,Kentucky,Age International,$$$,"Neat, Rocks"
Blanton's Special Reserve Single Barrel Kentucky Straight Bourbon Whiskey,40,80,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,Cocktail
Blanton's Gold Edition Single Barrel Kentucky Straight Bourbon Whiskey,51.5,103,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,"Neat, Cocktail"
Blanton's Straight from the Barrel Kentucky Straight Bourbon Whiskey,64.1,128.2,NAS,Buffalo Trace,Kentucky,Age International,$$$$$,"Neat, Cocktail"
Buffalo Trace Kentucky Straight Bourbon Whiskey,45,90,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,"Neat, Rocks, Cocktail"
Bulleit Bourbon Kentucky Straight Bourbon Whiskey,45,90,NAS,Four Roses,Kentucky,Diageo,$$,"Neat, Rocks, Cocktail"
Bulleit Bourbon Barrel Strength Kentucky Straight Bourbon Whiskey,59.6,119.2,NAS,Four Roses,Kentucky,Diageo,$$$,Water
Colonel E.H. Taylor Small Batch Bottled-in-Bond Kentucky Bourbon,50,100,NAS,Buffalo Trace,Kentucky,Sazerac ,$$,Cocktail
Coppercraft Straight Bourbon Whiskey,40,80,2 Years,Coppercraft,Michigan,Coppercraft,$$,"Neat, Cocktail"
Coppercraft Cask Strength Straight Bourbon Whiskey,58.55,117.1,2 Years,Coppercraft,Michigan,Coppercraft,$$$,"Rocks, Cocktail"
